"H1"||"A"||1||0|||5|||5||0|0|0|0|0|0|84|86|100|76|79|100|46|56|95|23|28|75|24|65.1|85||4.3|||13.9|||17.3|||19.3|||10.3||0|18.9|50|||||||6|16|25||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.05|0.08|0.11|||||19.1|||11.2|||35||0|1.5|2.9|12|21|30|1|6|11|0|0|6|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|6|9.2|2.1|4.5|6.9|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030043"|"65018104"
"H3"||"C"||3||71|||107|||36||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.7|1.4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030043"|"65018106"
"H4"||"R"||4||107|||132|||25||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.21|0.42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030043"|"65018107"
"H3"||"B"||3||137|||157|||20||0|0|0|0|0|0|82|94|100|76|91|100|61|87|100|27|68|80|20|34.4|80||3.1|||4.3|||5.9|||10.8|||10.3||0|37.6|50|||||||10|28|30||||0|0.25|0.5||||1.4|1.5|1.6|||||1.57|||4|10|42|0.08|0.13|0.18|||||30|||17|||39||0|1.5|2.9|13|26|27|2|9|10|0|3|6|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.1|0.8|2.3|3.1|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030044"|"65018110"
"H2"||"B"||2||19|||137|||118||0|0|0|0|0|0|82|94|100|76|91|100|68|87|100|53|72|95|0|26.1|45||1.7|||2.2|||5|||9.4|||7.8||0|28.9|45|||||||35|45|55||||0|0.25|0.5||||1.25|1.38|1.5|||||1.45|||4|9|14|0.07|0.13|0.19|||||36.5|||23.3|||43||0|1.5|2.9|31|38|45|13|17|21|3|11|22|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.1|6.6|2.6|3.8|5|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030044"|"65018109"
"H1"||"A"||1||0|||19|||19||0|0|0|0|0|0|84|90|100|76|84|100|46|55|95|23|30|75|24|65.1|85||4.3|||13.9|||17.3|||19.3|||10.3||0|18.9|50|||||||6|16|25||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.05|0.08|0.11|||||19.9|||11.6|||36||0|1.5|2.9|10|17|24|0|4|9|0|0|4|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|6|9.2|2.1|4.5|6.9|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030044"|"65018108"
"H4"||"C"||3||157|||208|||51||0|0|0|0|0|0|84|100|100|76|100|100|46|77|95|23|48|75|24|67.7|85||0|||2.4|||14.6|||33.9|||16.8||0|14.3|50|||||||10|18|27||||0|0.25|0.5||||1.4|1.5|1.6|||||1.57|||4|10|42|0.06|0.09|0.13|||||21.7|||12.5|||41||0|1.5|2.9|13|18|25|2|5|9|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.1|0.8|2.3|3.1|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030044"|"65018111"
"H1"||"A"||1||0|||5|||5||0|0|0|0|0|0|84|86|100|76|79|100|46|56|95|23|28|75|24|65.1|85||4.3|||13.9|||17.3|||19.3|||10.3||0|18.9|50|||||||6|16|25||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.05|0.08|0.11|||||19.1|||11.2|||35||0|1.5|2.9|12|21|30|1|6|11|0|0|6|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|6|9.2|2.1|4.5|6.9|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030046"|"65018112"
"H2"||"B"||2||5|||71|||66||0|0|0|0|0|0|82|88|100|76|84|100|68|80|100|53|72|95|0|26.1|45||1.7|||2.2|||5|||9.4|||7.8||0|28.9|45|||||||35|45|55||||0|0.25|0.5||||1.25|1.38|1.5|||||1.45|||4|9|14|0.1|0.13|0.15|||||34.9|||22.2|||41||0|1.5|2.9|39|48|57|16|21|26|5|15|29|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.1|6.6|2.6|3.8|5|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030046"|"65018113"
"H4"||"R"||4||107|||132|||25||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.21|0.42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030046"|"65018115"
"H3"||"C"||3||71|||107|||36||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.7|1.4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030046"|"65018114"
"H1"||"A"||1||0|||20|||20||0|0|0|0|0|0|95|100|100|85|100|100|45|90|100|25|70|90|15|44.3|82||4.3|||5.9|||7.9|||13.7|||12.5||0|40.7|80|||||||10|15|25||||2|3|8||||1.2|1.4|1.5|||||1.46|||4|9|14|0.13|0.2|0.22|||||27.8|||12.3|||43||0|1.5|2.9|16|20|30|2|4|10|0|0|8|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|7|10.5|14|5.2|7.9|10.5|1|2.4|4.4|4.5|7|7.3|||||||||||||||||||||||||||||||"Low"|"Moist"|"22030005"|"65017978"
"H3"||"C"||||104|||152|||48||0|0|0|0|0|0|35|75|100|10|50|100|5|30|100|1|10|95|0|83|100||1.1|||12|||26.2|||31.6|||12.1||0|9|39|||||||5|8|45||||0.1|0.5|1||||1.3|1.6|1.7|||||1.72|||14|28|141|0.02|0.06|0.14||13.4|||10.1|||4.1|||23||0|1.5|2.9|12|14|48|0|1|20|0|0|22|".05"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|6.8|12.4|0.9|5.1|9.3|1|2.4|4.4|5.6|5.6|6.5|||||||||||||||||||||||||||||||"Moderate"|"Moist"|"22030005"|"65017980"
"H2"||"B"||||20|||104|||84||0|0|0|0|0|0|95|100|100|85|100|100|70|85|100|30|45|80|15|59.9|80||4.1|||5.8|||14.3|||22.1|||13.6||0|18.1|80|||||||18|22|35||||1|2|3||||1.3|1.4|1.55|||||1.46|||4|9|14|0.15|0.17|0.21|||||23.9|||15.5|||44||0|1.5|2.9|23|27|38|6|8|14|0|0|2|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.3|9.9|3.8|5.5|7.4|1|2.4|4.4|4.5|7|7.3|||||||||||||||||||||||||||||||"Moderate"|"Moist"|"22030005"|"65017979"
"H1"||"A"||1||0|||30|||30||0|0|0|0|0|0|84|100|100|76|100|100|46|77|95|23|47|75|32|70.5|85||0.1|||3.3|||16|||33.8|||17.3||0|16.5|50|||||||8|13|18||||1|1.5|2||||1.45|1.55|1.65|||||1.62|||14|28|42|0.07|0.09|0.12|||||20.7|||11.3|||39||0|1.5|2.9|14|19|23|2|5|7|0|0|2|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.9|10.8|3.8|5.9|8.1|1|2.4|4.4|5.1|6.5|7.8|||||||||||||||||||||||||||||||||"22030006"|"65017981"
"H2"||"C"||2||30|||109|||79||0|0|0|0|0|0|84|98|100|76|97|100|38|75|95|4|46|75|32|70.5|100||0.1|||3.3|||16|||33.8|||17.3||0|16.5|50|||||||4|13|18||||0.5|0.75|1||||1.45|1.55|1.65|||||1.62|||14|28|42|0.07|0.09|0.12|||||19.4|||10|||38||0|1.5|2.9|11|19|23|0|5|7|0|0|2|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|6.2|8.6|1.9|4.7|6.4|1|2.4|4.4|5.1|6.5|7.8|||||||||||||||||||||||||||||||||"22030006"|"65017982"
"H3"||"C"||3||109|||157|||48||0|0|0|0|0|0|84|100|100|76|100|100|38|77|95|4|47|75|32|70.5|100||0.1|||3.3|||16|||33.8|||17.3||0|16.5|50|||||||4|13|18||||0.5|0.75|1||||1.45|1.55|1.65|||||1.62|||14|28|42|0.07|0.09|0.12|||||19.8|||10.2|||39||0|1.5|2.9|11|19|23|0|5|7|0|0|2|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|6.2|8.6|1.9|4.7|6.4|1|2.4|4.4|5.1|6.5|7.8|||||||||||||||||||||||||||||||||"22030006"|"65017983"
